MONTH,DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,DUP,CRS_ELAPSED_TIME,DISTANCE,WEATHER_DELAY,NAS_DELAY,LATE_AIRCRAFT_DELAY,DIV_AIRPORT_LANDINGS
1,4,1/5/23 0:00,AA,3518,MQ,3518,ORD,SYR,1305,1602,1624.0,22.0,0,0,N,117.0,607,0.0,22.0,0.0,0.0
1,4,1/5/23 0:00,B6,116,B6,116,JFK,SYR,1320,1433,1414.0,-19.0,0,0,N,73.0,209,,,,0.0
1,4,1/5/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,107.0,120.0,0,0,N,72.0,209,0.0,0.0,0.0,0.0
1,4,1/5/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,1906.0,7.0,0,0,N,161.0,1053,,,,0.0
1,4,1/5/23 0:00,DL,5190,9E,5190,JFK,SYR,2110,2241,2221.0,-20.0,0,0,N,91.0,209,,,,0.0
1,4,1/5/23 0:00,UA,1998,UA,1998,ORD,SYR,1824,2117,2117.0,0.0,0,0,N,113.0,607,,,,0.0
1,4,1/5/23 0:00,UA,3568,YX,3568,ORD,SYR,1348,1639,1651.0,12.0,0,0,N,111.0,607,,,,0.0
1,4,1/12/23 0:00,AA,3518,MQ,3518,ORD,SYR,1353,1635,1624.0,-11.0,0,0,N,102.0,607,,,,0.0
1,4,1/12/23 0:00,AA,4769,YX,4769,ORD,SYR,1931,2225,2220.0,-5.0,0,0,N,114.0,607,,,,0.0
1,4,1/12/23 0:00,B6,116,B6,116,JFK,SYR,1316,1429,1419.0,-10.0,0,0,N,73.0,209,,,,0.0
1,4,1/12/23 0:00,B6,2516,B6,2516,JFK,SYR,2155,2307,31.0,84.0,0,0,N,72.0,209,0.0,29.0,51.0,0.0
1,4,1/12/23 0:00,B6,656,B6,656,MCO,SYR,1618,1859,2007.0,68.0,0,0,N,161.0,1053,0.0,6.0,50.0,0.0
1,4,1/12/23 0:00,DL,5009,9E,5009,JFK,SYR,2230,2354,104.0,70.0,0,0,N,84.0,209,0.0,23.0,47.0,0.0
1,4,1/12/23 0:00,DL,5224,9E,5224,JFK,SYR,1635,1801,1803.0,2.0,0,0,N,86.0,209,,,,0.0
1,4,1/12/23 0:00,DL,5350,9E,5350,JFK,SYR,950,1115,1054.0,-21.0,0,0,N,85.0,209,,,,0.0
